bhat	beta	type
-4.773850e-01	0.000000e+00	0e+00
-1.423647e-01	0.000000e+00	0e+00
2.153715e-01	0.000000e+00	0e+00
-3.044622e-01	0.000000e+00	0e+00
1.166797e-01	0.000000e+00	0e+00
1.217313e-01	0.000000e+00	0e+00
3.950478e-02	0.000000e+00	0e+00
4.476124e-01	0.000000e+00	0e+00
2.927978e-01	0.000000e+00	0e+00
-1.358493e-01	0.000000e+00	0e+00
-1.647100e-01	0.000000e+00	0e+00
2.255388e-01	0.000000e+00	0e+00
-2.446821e-02	0.000000e+00	0e+00
8.634242e-02	0.000000e+00	0e+00
-9.071905e-02	0.000000e+00	0e+00
1.389506e-01	0.000000e+00	0e+00
-7.872032e-02	0.000000e+00	0e+00
1.032462e-01	0.000000e+00	0e+00
2.908921e-01	0.000000e+00	0e+00
2.892872e-02	0.000000e+00	0e+00
6.866780e-02	0.000000e+00	1e+00
3.732704e-02	0.000000e+00	2e+00
9.459669e-02	0.000000e+00	1e+00
1.002048e-01	0.000000e+00	2e+00
-2.020794e-02	0.000000e+00	1e+00
-2.048991e-02	0.000000e+00	2e+00
-9.245267e-02	0.000000e+00	1e+00
-6.214750e-02	0.000000e+00	2e+00
7.108975e-02	0.000000e+00	1e+00
9.696686e-02	0.000000e+00	2e+00
-9.237296e-02	0.000000e+00	1e+00
-6.088043e-02	0.000000e+00	2e+00
5.629639e-02	0.000000e+00	1e+00
7.949470e-02	0.000000e+00	2e+00
4.270053e-02	0.000000e+00	1e+00
-5.404657e-02	0.000000e+00	2e+00
1.821506e-02	0.000000e+00	1e+00
-7.353439e-02	0.000000e+00	2e+00
-4.076422e-04	0.000000e+00	1e+00
1.241525e-02	0.000000e+00	2e+00
-3.833076e-03	0.000000e+00	1e+00
-4.968014e-02	0.000000e+00	2e+00
-3.239266e-02	0.000000e+00	1e+00
-2.648641e-02	0.000000e+00	2e+00
-1.982536e-02	0.000000e+00	1e+00
-3.162948e-02	0.000000e+00	2e+00
-3.077571e-03	0.000000e+00	1e+00
1.109808e-02	0.000000e+00	2e+00
-1.153735e-01	0.000000e+00	1e+00
